Player Name,Team,Position,Age,Height
Henno,FRA,OUTSIDE HITTER,20,193cm
Gierżot,POL,OUTSIDE HITTER,23,208cm
Meijs,NED,OPPOSITE SPIKER,23,202cm
Poluian,UKR,OUTSIDE HITTER,27,198cm
Arthur,BRA,OUTSIDE HITTER,21,205cm
Matić,TUR,MIDDLE BLOCKER,30,211cm
Bračko,SLO,OUTSIDE HITTER,21,194cm
Todua,UKR,MIDDLE BLOCKER,33,208cm
Larry,JPN,MIDDLE BLOCKER,25,195cm
Wiltenburg,NED,MIDDLE BLOCKER,28,205cm
Gürbüz,TUR,OPPOSITE SPIKER,24,200cm
Atanasov,BUL,OUTSIDE HITTER,28,196cm
Knigge,USA,MIDDLE BLOCKER,29,201cm
Alonso,CUB,MIDDLE BLOCKER,28,202cm
Gulmezoglu,TUR,OUTSIDE HITTER,29,199cm
Tatarov,BUL,OUTSIDE HITTER,22,198cm
Luengas,ARG,OUTSIDE HITTER,29,197cm
Zhang Z.J.,CHN,MIDDLE BLOCKER,30,207cm
Savaş,TUR,MIDDLE BLOCKER,30,205cm
Krick,GER,MIDDLE BLOCKER,26,210cm
Brborić,SRB,OUTSIDE HITTER,19,192cm
Fiel,CUB,MIDDLE BLOCKER,32,205cm
Szymura,POL,OUTSIDE HITTER,30,196cm
Sani,ITA,OUTSIDE HITTER,23,203cm
Gallego,ARG,MIDDLE BLOCKER,28,204cm
Gomez,CUB,SETTER,26,194cm
Matheus,BRA,MIDDLE BLOCKER,29,207cm
Dilmenler,TUR,OPPOSITE SPIKER,21,203cm
Yamazaki,JPN,OUTSIDE HITTER,27,190cm
Daneshdoust,IRI,OUTSIDE HITTER,25,192cm
Krage,GER,MIDDLE BLOCKER,28,203cm
Plak,NED,MIDDLE BLOCKER,28,198cm
Tizi-Oualou,FRA,SETTER,19,197cm
Nikolić,SRB,OPPOSITE SPIKER,24,206cm
Urnaut,SLO,OUTSIDE HITTER,37,200cm
Brizard,FRA,SETTER,31,196cm
Ensing,USA,OPPOSITE SPIKER,28,201cm
Lucarelli,BRA,OUTSIDE HITTER,33,196cm
Peng S.K.,CHN,MIDDLE BLOCKER,25,208cm
