Player Name,Team,Great Saves,Defensive Errors,Defensive Receptions,Digs Per Match
Robinson,USA,23,23,24,1.92
Loser Bruno,ARG,23,13,23,1.92
Young,CAN,23,8,13,1.92
Brizard,FRA,23,10,16,2.56
Ma'a,USA,23,17,29,2.88
Grebennikov,FRA,23,12,16,4.60
Firlej,POL,22,9,15,2.00
Champlin,USA,22,17,7,1.83
Gomez,CUB,22,15,25,1.69
Ramon,FRA,21,3,6,2.62
Javad,IRI,21,9,8,1.75
Varga,CAN,21,18,14,2.10
Shoji,USA,21,16,16,3.00
Czunkiewicz,POL,20,18,18,2.50
Keemink,NED,20,16,20,1.67
Ji D.S.,CHN,20,11,24,1.54
Zhelev,BUL,20,16,8,1.67
Mohammad,IRI,20,8,10,1.82
J. Gutierrez,CUB,20,8,9,1.54
Ran,JPN,20,9,16,4.00
Wang B.,CHN,19,25,19,1.46
Li T. Y.,CHN,19,16,6,1.46
Semeniuk,UKR,19,7,32,1.58
Todua,UKR,19,6,13,1.58
Jendryk,USA,19,5,17,1.58
McHenry,USA,19,7,15,1.90
Darlan,BRA,19,13,14,1.27
Esfandiar,IRI,19,6,11,1.58
McCarthy,CAN,19,10,13,1.73
Bračko,SLO,19,9,11,1.27
Concepcion,CUB,19,6,16,1.46
Jovović,SRB,18,8,11,2.25
Nedeljković,SRB,18,7,17,1.50
Hobus,USA,18,7,9,1.50
Henno,FRA,18,6,8,2.00
Flavio,BRA,18,16,22,1.29
Torwie,GER,18,11,27,1.50
Sclater,CAN,18,8,5,2.25
Najdič,SLO,18,8,20,1.20
Eiro,JPN,18,10,25,1.64
Wen Z. H.,CHN,17,18,15,1.31
Larry,JPN,17,3,7,1.42
Romanò,ITA,17,13,15,1.55
Eisa,IRI,17,7,7,1.70
Berkhout,NED,16,20,16,1.33
Jiang C.,CHN,16,11,5,1.23
Wang H.B.,CHN,16,17,16,1.23
Kai,JPN,16,10,17,1.33
Gürbüz,TUR,16,7,3,4.00
Tatarov,BUL,16,5,10,1.33
Bottolo,ITA,16,3,8,1.07
Dagostino,USA,16,21,10,2.00
Ewert,USA,16,20,25,1.33
Tizi-Oualou,FRA,16,11,17,1.78
Arthur,BRA,16,4,7,1.23
Louati,FRA,16,13,10,1.78
Leon,POL,16,7,6,2.29
Otsuka,JPN,15,11,12,1.88
Brborić,SRB,15,10,6,1.36
Gargiulo,ITA,15,5,17,1.00
Luengas,ARG,15,7,7,1.25
Lui,CAN,15,24,3,1.25
Štalekar,SLO,15,11,12,1.00
Tille,GER,15,7,14,2.50
Gierżot,POL,14,6,6,1.75
Van Der Ent,NED,14,6,9,1.17
Gulmezoglu,TUR,14,14,16,1.75
Sani,ITA,14,5,3,3.50
Anzani,ITA,14,5,14,1.27
Maase,GER,14,7,9,1.75
Gyimah,CAN,14,6,11,1.17
Thondike,CUB,14,12,13,1.08
Planinšič,SLO,14,31,47,1.17
D. Kolev,BUL,14,6,8,3.50
Negic,SRB,13,6,6,1.08
Savaş,TUR,13,0,1,1.08
Huetz,FRA,13,2,10,1.00
Heslinga,CAN,13,16,17,1.18
Mergarejo,CUB,13,4,3,1.00
Dilmenler,TUR,13,7,5,1.44
Lucarelli,BRA,13,6,18,1.86
Simón,CUB,13,4,8,2.60
Fornal,POL,13,11,14,1.86
Nowak J.,POL,12,12,6,0.86
Mašulović N.,SRB,12,4,14,1.00
Poluian,UKR,12,5,12,1.00
Zerba,ARG,12,4,10,1.00
Zhai D.J.,CHN,11,9,9,0.85
