Player Name,Team,Blocks,Blocking Errors,Rebounds,Blocks Per Match
Violas,POR,1,1,3,0.33
Tavares,POR,1,6,4,0.33
Ishikawa,JPN,1,6,13,0.33
Nishiyama,JPN,1,0,1,0.33
Eiro,JPN,1,2,1,0.33
Sato,JPN,1,7,1,0.33
Kirkit,TUR,1,0,0,0.33
Brand,GER,1,11,5,0.33
S. Nikolov,BUL,1,11,10,0.33
Berkhout,NED,1,2,4,0.33
Koops,NED,1,4,5,0.33
Y. Oughlaf,QAT,1,9,4,0.33
M. Alkuwari,QAT,1,0,0,0.33
Renan,QAT,1,7,6,0.33
Abdallah,QAT,1,4,3,0.33
Bračko,SLO,1,0,2,0.33
Najdič,SLO,1,2,1,0.33
Araya,CHI,1,1,1,0.33
Jadue,CHI,1,2,0,0.33
Valenzuela,CHI,1,8,9,0.33
Semeniuk,POL,1,3,5,0.33
Jakubiszak,POL,1,1,2,0.33
Huber,POL,1,10,10,0.33
Aciobanitei,ROU,1,2,4,0.33
Gomez,ARG,1,1,0,0.50
Palonsky,ARG,1,9,4,0.50
Zerba,ARG,1,2,3,0.50
Ronkainen,FIN,1,2,5,0.50
Lindqvist,FIN,1,0,0,0.50
Yousef,IRI,1,6,1,0.50
A. Seoudy,EGY,1,5,2,0.50
Elhossiny,EGY,1,4,8,0.50
Seif Abed,EGY,1,5,5,0.50
A.Said,EGY,1,9,2,0.50
A.Elshahat,EGY,1,5,2,0.50
D'heer,BEL,1,6,4,0.50
Fafchamps,BEL,1,3,2,0.50
Jovović,SRB,1,4,2,0.50
Kujundžić,SRB,1,5,0,0.50
Mašulović N.,SRB,1,1,5,0.50
Luburić,SRB,1,3,2,0.50
Stefanović,SRB,1,6,4,0.50
Zajicek,CZE,1,5,6,0.50
Sotola,CZE,1,3,1,0.50
Brizard,FRA,1,2,8,0.50
Louati,FRA,1,3,2,0.50
Faure,FRA,1,0,1,0.50
Huetz,FRA,1,3,0,0.50
Changseong,KOR,1,0,0,0.50
Lucarelli,BRA,1,5,5,0.50
Arthur,BRA,1,3,5,0.50
Jiang C.,CHN,1,1,2,0.50
Li L.,CHN,1,1,3,0.50
Yu Y.T.,CHN,1,1,0,0.50
Giannelli,ITA,1,3,3,0.50
Sbertoli,ITA,1,1,3,0.50
Rychlicki,ITA,1,5,2,0.50
Bottolo,ITA,1,11,4,0.50
Bouyoucef,ALG,1,1,5,0.50
Amrat,ALG,1,0,0,0.50
Hosni,ALG,1,2,1,0.50
Ybanez,PHI,0,0,0,0
Lorenzo,PHI,0,0,0,0
Kalingking,PHI,0,0,0,0
Ordiales,PHI,0,2,2,0.00
Adajar,PHI,0,0,0,0
Ramirez,PHI,0,0,0,0
Buddin,PHI,0,0,0,0
Disquitado,PHI,0,1,1,0.00
Boussabah.A,TUN,0,0,0,0
Bouaziz. A,TUN,0,1,0,0.00
Nagga H.,TUN,0,0,0,0
Baccour.W,TUN,0,0,0,0
Ridene.M,TUN,0,0,0,0
Korbosli T,TUN,0,0,0,0
Dagostino,USA,0,0,0,0
Averill,USA,0,0,0,0
Shoji,USA,0,0,0,0
Jimenez,COL,0,6,4,0.00
Mendoza,COL,0,3,0,0.00
Roosvuelt,COL,0,0,0,0
Ruiz,COL,0,0,0,0
Caicedo,COL,0,0,0,0
larrahondo,COL,0,0,0,0
Ambuila,COL,0,2,3,0.00
J. Elser,CAN,0,0,0,0
Howe,CAN,0,2,3,0.00
Elgert,CAN,0,1,0,0.00
Wassenaar Ketrzynski,CAN,0,1,3,0.00
Schnitzer,CAN,0,0,0,0
Lui,CAN,0,0,0,0
Currie,CAN,0,0,0,0
jnefa,LBA,0,1,0,0.00
Abdelmalek,LBA,0,0,0,0
Almarrug,LBA,0,0,0,0
Mousa,LBA,0,1,0,0.00
Alashlam,LBA,0,2,0,0.00
Abulababa,LBA,0,7,2,0.00
Zakka Ragab Tarek,LBA,0,0,0,0
M. Alajeeli,LBA,0,0,0,0
Garcia,CUB,0,0,0,0
Gomez,CUB,0,2,1,0.00
Camino,CUB,0,0,0,0
Lopez,CUB,0,3,0,0.00
Alonso,CUB,0,0,0,0
J. Gutierrez,CUB,0,0,0,0
Fiel,CUB,0,3,0,0.00
Rafael,POR,0,0,0,0
Alex,POR,0,0,0,0
Ivo Casas,POR,0,0,0,0
Goncalo,POR,0,0,0,0
B. Dias,POR,0,1,2,0.00
Menezes,POR,0,0,0,0
Andre,POR,0,1,0,0.00
Otsuka,JPN,0,0,0,0
Oya,JPN,0,0,2,0.00
Ran,JPN,0,10,2,0.00
Ogawa,JPN,0,0,0,0
Kai,JPN,0,0,0,0
Nishimoto,JPN,0,0,0,0
Yamamoto,JPN,0,0,0,0
