Player Name,Team,attacking_Kills,attacking_Attacking Errors,attacking_Attacking Attempts,attacking_Attacks Per Match,blocking_Blocks,blocking_Blocking Errors,blocking_Rebounds,blocking_Blocks Per Match,defense_Great Saves,defense_Defensive Errors,defense_Receptions,defense_Digs Per Match,receiving_Successful Receives,receiving_Receiving Errors,receiving_Service Receptions,receiving_Receives Per Match,serving_Aces,serving_Service Errors,serving_Service Attempts,serving_Serves Per Match,setting_Running Sets,setting_Setting Errors,setting_Still Sets,setting_Sets Per Match
Atanasov,BUL,21,6,17,7.0,7,3,3,2.33,13,6,0,4.33,15,3,38,5.0,0,7,28,1.0,1,1,15,0.33
Averill,USA,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Azab,EGY,1,0,0,0.5,0,0,0,0.0,0,0,0,0.0,0,0,3,0.0,0,0,6,0.0,0,0,0,0.0
B. Bayraktar,TUR,0,0,0,0.0,0,0,0,0.0,27,6,0,9.0,15,7,30,5.0,0,0,0,0.0,0,0,13,0.0
B. Dias,POR,1,0,0,0.33,0,1,2,0.0,0,0,0,0.0,0,0,0,0.0,0,2,4,0.0,15,0,3,5.0
Baccour.W,TUN,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,4,0.0,5,0,1,2.5
Bagunas,PHI,43,9,25,21.5,3,6,4,1.5,8,6,0,4.0,4,1,29,2.0,0,6,16,1.0,0,0,3,0.0
Bak,NED,3,3,4,1.0,3,0,1,1.0,1,1,0,0.33,1,1,5,0.33,0,0,6,0.33,0,0,0,0.0
Bala,ROU,5,2,2,1.67,0,6,1,0.0,2,1,0,0.67,2,3,12,0.67,0,2,5,0.33,0,0,5,0.0
Balaso,ITA,0,0,0,0.0,0,0,0,0.0,13,3,0,6.5,6,5,31,3.0,0,0,0,0.0,0,0,10,0.0
Balean,ROU,31,12,24,10.33,0,9,5,0.0,6,7,0,2.0,0,1,8,0.0,0,9,29,0.67,5,0,12,1.67
Banda,CHI,1,1,0,0.33,0,4,1,0.0,6,2,0,2.0,0,1,0,0.0,0,1,23,0.0,51,0,107,17.0
Bartha,ROU,19,1,3,6.33,7,12,15,2.33,3,3,0,1.0,1,0,3,0.33,0,12,17,0.33,0,0,4,0.0
Bartunek,CZE,3,1,0,1.5,0,0,1,0.0,2,7,0,1.0,0,0,0,0.0,0,3,13,0.0,34,1,81,17.0
Bedirhan,TUR,18,3,9,6.0,6,4,17,2.0,2,3,0,0.67,2,1,2,0.67,0,8,31,2.0,0,0,5,0.0
Belal,QAT,10,4,7,3.33,7,7,9,2.33,1,0,0,0.33,1,0,1,0.33,0,4,17,0.0,0,0,1,0.0
Ben Romdhane.O,TUN,28,7,18,14.0,3,3,3,1.5,7,4,0,3.5,7,5,17,3.5,0,5,22,0.0,1,0,8,0.5
Ben Slimene K,TUN,3,0,1,1.5,2,4,5,1.0,8,1,0,4.0,0,0,0,0.0,0,4,21,0.5,76,2,65,38.0
Ben Taher.M,TUN,0,0,1,0.0,1,1,0,0.5,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Benavides,COL,24,9,28,8.0,1,5,7,0.33,7,1,0,2.33,12,6,52,4.0,0,8,22,1.0,0,0,8,0.0
Benda,CZE,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,1,0,0.0,0,0,0,0.0
Berkhout,NED,2,0,3,0.67,1,2,4,0.33,12,8,0,4.0,0,0,0,0.0,0,6,29,0.0,50,1,159,16.67
Bisset,CUB,0,2,4,0.0,1,3,2,0.33,1,0,0,0.33,0,0,0,0.0,0,1,4,0.33,0,0,1,0.0
Bobby,QAT,1,0,4,0.33,2,5,9,0.67,15,9,0,5.0,0,1,0,0.0,0,4,32,1.0,77,3,186,25.67
Boiko,UKR,0,0,0,0.0,0,0,0,0.0,0,3,0,0.0,7,3,11,3.5,0,0,0,0.0,2,0,4,1.0
Bonacic,CHI,0,0,0,0.0,0,0,0,0.0,1,0,0,0.33,0,0,0,0.0,0,1,2,0.0,0,0,1,0.0
Bongui.A,TUN,20,4,20,10.0,3,10,2,1.5,3,3,0,1.5,0,1,0,0.0,0,5,12,0.0,0,0,1,0.0
Bottolo,ITA,27,9,17,13.5,1,11,4,0.5,4,2,0,2.0,7,1,29,3.5,0,9,15,1.0,1,0,2,0.5
Bouaziz. A,TUN,0,0,2,0.0,0,1,0,0.0,0,0,0,0.0,1,0,1,0.5,0,0,0,0.0,0,0,0,0.0
Bourouba,ALG,0,2,2,0.0,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,0,0,3,0.5,0,0,1,0.0
Boussabah.A,TUN,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Bouyoucef,ALG,5,0,4,2.5,1,1,5,0.5,2,0,0,1.0,0,1,3,0.0,0,0,9,0.0,0,0,1,0.0
Brand,GER,19,8,16,6.33,1,11,5,0.33,7,6,0,2.33,14,3,38,4.67,0,3,25,0.67,0,0,12,0.0
Bravo,CHI,0,0,0,0.0,0,0,0,0.0,5,11,0,1.67,4,1,40,1.33,0,0,0,0.0,1,0,5,0.33
