Rank,Player Name,Team,Blocks,Errors,Rebounds,Average Per Match,Efficiency %,Total
9,Hoag,CAN,2,7,6,0.67,-33.33,15
9,Young,CAN,2,1,3,0.67,16.67,6
9,Garwash,LBA,2,3,3,0.67,-12.50,8
9,Lourenço,POR,2,8,4,0.67,-42.86,14
9,Onodera,JPN,2,5,5,0.67,-25.00,12
9,Miyaura,JPN,2,4,5,0.67,-18.18,11
9,Tümer,TUR,2,3,2,0.67,-14.29,7
9,M. Lagumdzija,TUR,2,2,5,0.67,0.00,9
9,Zimmermann,GER,2,3,9,0.67,-7.14,14
9,Korenblek,NED,2,0,1,0.67,66.67,3
9,Tuinstra,NED,2,10,3,0.67,-53.33,15
9,Bobby,QAT,2,5,9,0.67,-18.75,16
9,A. Bakry,QAT,2,1,3,0.67,16.67,6
9,Z. Štern,SLO,2,6,8,0.67,-25.00,16
9,Ropret,SLO,2,3,9,0.67,-7.14,14
9,Komenda,POL,2,0,11,0.67,15.38,13
9,Sasak,POL,2,2,4,0.67,0.00,8
9,Dumitru,ROU,2,5,6,0.67,-23.08,13
9,Magdas,ROU,2,7,5,0.67,-35.71,14
9,Martinez Franchi,ARG,2,4,2,1.00,-25.00,8
9,Suihkonen,FIN,2,3,5,1.00,-10.00,10
9,Ivanov,FIN,2,5,8,1.00,-20.00,15
9,Poriya,IRI,2,3,3,1.00,-12.50,8
9,Eisa,IRI,2,3,3,1.00,-12.50,8
9,Synytsia,UKR,2,4,6,1.00,-16.67,12
9,Kovalov,UKR,2,2,6,1.00,0.00,10
9,Galabov,CZE,2,2,2,1.00,0.00,6
9,Vasina,CZE,2,5,2,1.00,-33.33,9
9,Klimes,CZE,2,8,4,1.00,-42.86,14
9,Clevenot,FRA,2,2,2,1.00,0.00,6
9,Jouffroy,FRA,2,4,3,1.00,-22.22,9
9,Subong,KOR,2,3,2,1.00,-14.29,7
9,Junhyeok,KOR,2,3,7,1.00,-8.33,12
9,Alan,BRA,2,7,7,1.00,-31.25,16
9,Liu L.B.,CHN,2,4,0,1.00,-33.33,6
10,Taguibolos,PHI,1,9,2,0.50,-66.67,12
10,Karamosli E,TUN,1,3,2,0.50,-33.33,6
10,Hfaiedh H.,TUN,1,0,0,0.50,100.00,1
10,Ben Taher.M,TUN,1,1,0,0.50,0.00,2
10,Ensing,USA,1,1,3,0.33,0.00,5
10,Pasteur,USA,1,2,2,0.33,-20.00,5
10,Ma'a,USA,1,1,2,0.33,0.00,4
10,Robinson,USA,1,1,3,0.33,0.00,5
10,Jaramillo,COL,1,4,7,0.33,-25.00,12
10,Santos,COL,1,2,0,0.33,-33.33,3
